id,title,price,image_link,description,availability,condition,link,brand,google_product_category,fb_product_category,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,item_group_id,gender,color,size,age_group,material,pattern,shipping,shipping_weight,style[0]
FF-1-70.50,Fan Folds wall sculpture,600.0 GBP,https://cdn.shopify.com/s/files/1/0582/9394/4500/products/LightFoldUnfold2_2_12_1_22.jpg?v=1642166394,"Elegant individually carved and cast wall sculpture of folded shapes forming curved lines resembling the folds of a fan
Beautiful texture of light and shadow enhanced by white marble stone finish
This sculpture is 70cm x 50cm x 6cm and is suitable for placement on an interior or a garden wall
Available in different surface finishes
Contact us for further information",in stock,new,https://boldstone.co.uk/products/copy-of-cultivation-folds,Boldstone,,,1,600.0 GBP,,,,,,,,,,18.0 kg,
MM-2P-100.44,Mirror Moons wall sculpture,880.0 GBP,https://cdn.shopify.com/s/files/1/0582/9394/4500/products/TwoMoons1.jpg?v=1642175163,"Individually carved and cast wall sculpture inspired by the curved shape of the Moon mirrored against a dark sky
This is a two-part sculpture of 100cm x 22cm x 6cm each part in white marble stone finish suitable as a contemporary artwork for interior and outdoor wall decor
Available in different surface effects
Contact us for further information",in stock,new,https://boldstone.co.uk/products/copy-of-moon-and-shellwave-1,Boldstone,,,1,880.0 GBP,,,,,,,,,,20.0 kg,
DPS-2P-30.30,Deco Palm and Spiral wall sculpture,360.0 GBP,https://cdn.shopify.com/s/files/1/0582/9394/4500/products/PalmandFrond30x3011.jpg?v=1642164105,"An individually carved and cast two-part wall sculpture of a Deco style Palm and Spiral 
The sculptures are 30cm x 30cm x 6cm each part in white marble stone finish, suitable as contemporary artwork for interior and outdoor wall decor
Available in different surface effects
Contact us for further information",in stock,new,https://boldstone.co.uk/products/copy-of-two-leaf-forms,Boldstone,,,1,360.0 GBP,,,,,,,,,,12.0 kg,
ES-2P-30.30,Echo Sound wall sculpture,360.0 GBP,https://cdn.shopify.com/s/files/1/0582/9394/4500/products/DSC_1895_2_1_22.jpg?v=1642166039,"An individually carved and cast two-part wall sculpture of sand textured concentric oval shapes implying echo soundwaves 
The sculptures are 30cm x 30cm x 6cm each part in white marble stone finish, suitable as contemporary artwork for interior and outdoor wall decor
Available in different surface effects
Contact us for further information",in stock,new,https://boldstone.co.uk/products/copy-of-deco-palm-and-spiral,Boldstone,,,1,360.0 GBP,,,,,,,,,,12.0 kg,
AMML-2P-120.120,Ancient Ammonite wall sculpture,2880.0 GBP,https://cdn.shopify.com/s/files/1/0582/9394/4500/products/DSC_02781_1.jpg?v=1642093097,"A beautiful large two-part ancient Ammonite individually carved and cast wall sculpture
Gentle texture of light and shadow enhanced by white marble stone finish this sculpture is 120cm x 60cm x 6cm each part and is suitable for placement on a large interior or garden wall
Total size including gap 120cm x 124cm x 6cm
Available in different surface effects
Contact us for further information",in stock,new,https://boldstone.co.uk/products/copy-of-cultivation-folds-1,Boldstone,,,1,2880.0 GBP,,,,,,,,,,45.0 kg,
JRWP-4P-30.120,Japanese Raked Water Path wall sculpture,720.0 GBP,https://cdn.shopify.com/s/files/1/0582/9394/4500/products/20_3_11112.jpg?v=1642172983,"Individually carved and cast wall sculpture inspired by the dry landscape gardens of Kyoto, Japan where Buddhist monks rake quartz gravel into infinite swirling patterns reminiscent of the sea
This is a beautiful timeless work of art consisting of four-parts of wall sculpture of 30cm x 30cm x 6cm
Each part is in white marble stone finish and suitable as a contemporary artwork for interior and outdoor wall decor 
Available in different surface effects
Contact us for further information",in stock,new,https://boldstone.co.uk/products/copy-of-moonphases-five-1,Boldstone,,,1,720.0 GBP,,,,,,,,,,24.0 kg,
MW-1-80.50,Moonwave wall sculpture,700.0 GBP,https://cdn.shopify.com/s/files/1/0582/9394/4500/products/DSC_16601_1_333.jpg?v=1642258474,"Elegant individually carved and cast wall sculpture of 80cm x 50cm x 6cm of a moon form with a wave below it forming shadows within concave shapes
Beautiful texture of light and shadow enhanced by white marble stone finish
This sculpture is suitable for placement on an interior or a garden wall
Available in different surface effects
Contact us for further information",in stock,new,https://boldstone.co.uk/products/copy-of-cultivation-folds-2,Boldstone,,,1,700.0 GBP,,,,,,,,,,18.0 kg,
CM-1-50.50,Concave Moon wall sculpture,520.0 GBP,https://cdn.shopify.com/s/files/1/0582/9394/4500/products/DSC_1498_3_1_22.jpg?v=1642098457,"A serene wall sculpture, Concave Moon creates the illusion of being convex in sunlight
It is an individually carved and cast wall sculpture of 50cm x 50cm x 6cm with beautiful texture of light and shadow enhanced by white marble stone finish suitable for placement on an interior or garden wall
Available in different surface effects
Contact us for further information",in stock,new,https://boldstone.co.uk/products/copy-of-moonwave,Boldstone,,,1,520.0 GBP,,,,,,,,,,15.0 kg,
DF-1-100.50,Deco Fountain wall sculpture,800.0 GBP,https://cdn.shopify.com/s/files/1/0582/9394/4500/products/DSC_2548_4_1_22.jpg?v=1642100332,"Deco Fountain is an elegant, individually carved and cast wall sculpture of 100cm x 50cm x 6cm
Subtle relief work with beautiful texture of light and shadow enhanced by white marble stone finish suitable for placement on an interior or a garden wall
Available in different surface effects
Contact us for further information",in stock,new,https://boldstone.co.uk/products/copy-of-concave-moon,Boldstone,,,1,800.0 GBP,,,,,,,,,,15.0 kg,
DDR-2-100.22,Deco Dune Ripple wall sculpture,880.0 GBP,https://cdn.shopify.com/s/files/1/0582/9394/4500/products/L1230853_2_1_22.jpg?v=1642099786,"Individually carved and cast modern wall sculpture inspired by the Art Deco style 
A very elegant interpretation of ripple wave shapes with intertwining spirals
A two-part sculpture of 100cm x 22cm x 6cm in white marble stone finish suitable as a contemporary artwork for interior and outdoor wall decor
Available in different surface effects
Contact us for further information ",in stock,new,https://boldstone.co.uk/products/copy-of-moon-and-shellwave-2,Boldstone,,,1,880.0 GBP,,,,,,,,,,20.0 kg,
SSR-1-100.50,Smooth Sand Ripple wall sculpture,800.0 GBP,https://cdn.shopify.com/s/files/1/0582/9394/4500/products/DSC_3142_9d333.jpg?v=1642263381,"An individually carved and cast wall sculpture inspired by sand ripples formed by wind and sea
 Smooth Sand Ripple can be coupled with Fossil Sand Ripple or be placed on its own on a living room wall or an outside patio wall enhanced by artificial light at night
 The wall sculpture is 100cm x 50cm x 6cm, in white marble stone finish and suitable as a beautiful artwork for interior and outdoor wall decor
Available in different surface effects
Contact us for further information",in stock,new,https://boldstone.co.uk/products/copy-of-smooth-sand-ripple-1,Boldstone,,,1,800.0 GBP,,,,,,,,,,18.0 kg,
PJMB-1-40.60,Japanese Maple Blues photographic,60.0 GBP,https://cdn.shopify.com/s/files/1/0582/9394/4500/products/DSC_22681_8_1_33.jpg?v=1642172815,Photographic print on high quality aluminium dibond backing with matt finish 60cm x 40cm,in stock,new,https://boldstone.co.uk/products/copy-of-delicate-blue,Boldstone,,,1,60.0 GBP,,,,,,,,,,50.0 g,
PES-1-40.60,Early Spring photographic Print,60.0 GBP,https://cdn.shopify.com/s/files/1/0582/9394/4500/products/DSC_270611_2_22.jpg?v=1642165533,Photographic print on high quality aluminium dibond backing with matt finish 60cm x 40cm,in stock,new,https://boldstone.co.uk/products/copy-of-delicate-blue-2,Boldstone,,,1,60.0 GBP,,,,,,,,,,50.0 g,
PPG-1-40.60,Pink and Green photographic Print,60.0 GBP,https://cdn.shopify.com/s/files/1/0582/9394/4500/products/DSC_24471_1_333.jpg?v=1642261829,Photographic print on high quality aluminium dibond backing with matt finish 60cm x 40cm,in stock,new,https://boldstone.co.uk/products/copy-of-summer-meadow,Boldstone,,,1,60.0 GBP,,,,,,,,,,50.0 g,
PHO-1-40.60,Honeysuckle Orange photographic Print,60.0 GBP,https://cdn.shopify.com/s/files/1/0582/9394/4500/products/DSC_270011_2_333.jpg?v=1642170963,Photographic print on high quality aluminium dibond backing with matt finish 60cm x 40cm,in stock,new,https://boldstone.co.uk/products/copy-of-delicate-blue-4,Boldstone,,,1,60.0 GBP,,,,,,,,,,50.0 g,
PNF-1-40.60,Nevis Fern photographic Print,60.0 GBP,https://cdn.shopify.com/s/files/1/0582/9394/4500/products/L1200772_3_1_333.jpg?v=1642259877,Photographic print on high quality aluminium dibond backing with matt finish 60cm x 40cm,in stock,new,https://boldstone.co.uk/products/copy-of-honeysuckle-orange,Boldstone,,,1,60.0 GBP,,,,,,,,,,50.0 g,
PIB-1-40.60,Iris Blue photographic Print,60.0 GBP,https://cdn.shopify.com/s/files/1/0582/9394/4500/products/DSC_22031_6_333.jpg?v=1642171596,Photographic print on high quality aluminium dibond backing with matt finish 60cm x 40cm,in stock,new,https://boldstone.co.uk/products/copy-of-nevis-fern,Boldstone,,,1,60.0 GBP,,,,,,,,,,50.0 g,
POG-1-40.60,Orange and Green photographic Print,60.0 GBP,https://cdn.shopify.com/s/files/1/0582/9394/4500/products/L1230136_1_333.jpg?v=1642260448,Photographic print on high quality aluminium dibond backing with matt finish 60cm x 40cm,in stock,new,https://boldstone.co.uk/products/copy-of-delicate-blue-5,Boldstone,,,1,60.0 GBP,,,,,,,,,,50.0 g,
